2023-03-30 23:45:49,699 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-30 23:45:49,801 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: test1
2023-03-30 23:45:49,885 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-30 23:45:49,958 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: test2
2023-03-30 23:45:50,894 INFO       transport.py Попытка подключения №1
2023-03-30 23:45:50,894 DEBUG      transport.py Установлено соединение с сервером
2023-03-30 23:45:50,894 DEBUG      transport.py Сформировано presence сообщение для пользователя test2
2023-03-30 23:45:50,894 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1680205550.8947985, 'user': {'account_name': 'test2'}}), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,894 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,917 INFO       transport.py Попытка подключения №1
2023-03-30 23:45:50,918 DEBUG      transport.py Установлено соединение с сервером
2023-03-30 23:45:50,918 DEBUG      transport.py Сформировано presence сообщение для пользователя test1
2023-03-30 23:45:50,918 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1680205550.9182453, 'user': {'account_name': 'test1'}}), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,918 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37452), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,978 DEBUG      transport.py Разбор сообщения от сервера: {'response': 200}
2023-03-30 23:45:50,978 INFO       transport.py Соединение с сервером успешно установлено.
2023-03-30 23:45:50,978 DEBUG      transport.py Запрос списка известных пользователей test2
2023-03-30 23:45:50,978 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>, {'action': 'get_users', 'time': 1680205550.978906, 'account_name': 'test2'}), {}. Вызов из модуля common.utils
2023-03-30 23:45:50,979 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37446), raddr=('127.0.0.1', 7777)>,), {}. Вызов из модуля common.utils
2023-03-30 23:45:51,042 DEBUG      transport.py Разбор сообщения от сервера: {'response': 200}
